OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
04Q,Tradewind Aviation,13463,V,1,5
04Q,Tradewind Aviation,14819,V,1,4
04Q,Tradewind Aviation,14553,V,3,8
04Q,Tradewind Aviation,13032,V,1,5
04Q,Tradewind Aviation,10693,V,2,10
04Q,Tradewind Aviation,10325,V,1,6
04Q,Tradewind Aviation,15070,V,1,1
04Q,Tradewind Aviation,11441,V,1,1
04Q,Tradewind Aviation,12478,V,5,17
04Q,Tradewind Aviation,12953,V,1,4
04Q,Tradewind Aviation,14769,V,3,5
04Q,Tradewind Aviation,11618,V,1,2
04Q,Tradewind Aviation,11862,V,2,2
04Q,Tradewind Aviation,12190,V,1,3
04Q,Tradewind Aviation,16479,V,4,8
04Q,Tradewind Aviation,11728,V,6,20
04Q,Tradewind Aviation,13139,V,1,4
04Q,Tradewind Aviation,10663,V,1,7
04Q,Tradewind Aviation,14307,V,6,15
04Q,Tradewind Aviation,14492,V,1,4
04Q,Tradewind Aviation,14524,V,2,9
04Q,Tradewind Aviation,14576,V,3,10
04Q,Tradewind Aviation,13507,V,10,36
04Q,Tradewind Aviation,13125,V,1,3
04Q,Tradewind Aviation,13599,V,3,9
04Q,Tradewind Aviation,14610,V,1,8
04Q,Tradewind Aviation,13987,V,11,31
04Q,Tradewind Aviation,16520,V,2,9
04Q,Tradewind Aviation,14843,V,71,387
04Q,Tradewind Aviation,14814,V,1,1
04Q,Tradewind Aviation,10569,V,1,5
04Q,Tradewind Aviation,15096,V,2,5
04Q,Tradewind Aviation,15370,V,1,2
04Q,Tradewind Aviation,12264,V,13,26
04Q,Tradewind Aviation,14027,V,1,3
04Q,Tradewind Aviation,12197,V,189,647
04Q,Tradewind Aviation,10329,V,1,1
04Q,Tradewind Aviation,11456,V,4,14
04Q,Tradewind Aviation,11764,V,7,27
04Q,Tradewind Aviation,10423,V,1,6
04Q,Tradewind Aviation,15167,V,199,916
04Q,Tradewind Aviation,14259,V,2,5
04Q,Tradewind Aviation,14986,V,1,1
04Q,Tradewind Aviation,10589,V,1,5
04Q,Tradewind Aviation,14539,V,3,18
04Q,Tradewind Aviation,10964,V,2,9
04Q,Tradewind Aviation,14306,V,8,37
04Q,Tradewind Aviation,14751,V,1,2
04Q,Tradewind Aviation,14098,V,1,1
04Q,Tradewind Aviation,15882,V,1,1
04Q,Tradewind Aviation,10504,V,3,10
04Q,Tradewind Aviation,16553,V,1,1
04Q,Tradewind Aviation,11656,V,1,2
04Q,Tradewind Aviation,13008,V,1,1
04Q,Tradewind Aviation,13541,V,65,260
04Q,Tradewind Aviation,10154,V,122,573
04Q,Tradewind Aviation,14875,V,1,4
04Q,Tradewind Aviation,15879,V,1,4
04Q,Tradewind Aviation,16498,V,2,3
04Q,Tradewind Aviation,16525,V,9,27
04Q,Tradewind Aviation,12223,V,1,7
04Q,Tradewind Aviation,11842,V,1,1
04Q,Tradewind Aviation,14044,V,1,1
04Q,Tradewind Aviation,14321,V,2,8
04Q,Tradewind Aviation,16543,V,2,4
04Q,Tradewind Aviation,10785,V,4,14
04Q,Tradewind Aviation,11493,V,3,14
04Q,Tradewind Aviation,11592,V,1,2
04Q,Tradewind Aviation,13296,V,4,16
04Q,Tradewind Aviation,16569,V,1,2
04Q,Tradewind Aviation,13184,V,1,3
04Q,Tradewind Aviation,12244,V,3,7
04Q,Tradewind Aviation,13958,V,1,1
04Q,Tradewind Aviation,13933,V,3,13
04Q,Tradewind Aviation,11106,V,2,7
04Q,Tradewind Aviation,12587,V,1,3
04Q,Tradewind Aviation,13674,V,4,7
04Q,Tradewind Aviation,13577,V,1,5
04Q,Tradewind Aviation,12029,V,2,3
04Q,Tradewind Aviation,10540,V,29,98
04Q,Tradewind Aviation,10535,V,4,10
04Q,Tradewind Aviation,12916,V,3,16
04Q,Tradewind Aviation,12168,V,2,3
04Q,Tradewind Aviation,16856,V,1,8
04Q,Tradewind Aviation,10613,V,3,10
04Q,Tradewind Aviation,15855,V,2,8
04Q,Tradewind Aviation,12932,V,7,18
04Q,Tradewind Aviation,16442,V,1,5
04Q,Tradewind Aviation,14050,V,1,6
04Q,Tradewind Aviation,10815,V,9,18
04Q,Tradewind Aviation,10361,V,1,2
04Q,Tradewind Aviation,10309,V,1,4
04Q,Tradewind Aviation,12130,V,1,2
04Q,Tradewind Aviation,11675,V,12,75
04Q,Tradewind Aviation,13105,V,1,1
04Q,Tradewind Aviation,13418,V,1,5
04Q,Tradewind Aviation,12222,V,13,34
04Q,Tradewind Aviation,13685,V,2,7
04Q,Tradewind Aviation,13398,V,10,32
04Q,Tradewind Aviation,14938,V,1,8
04Q,Tradewind Aviation,16540,V,9,50
04Q,Tradewind Aviation,15024,K,7,31
04Q,Tradewind Aviation,14843,K,185,906
04Q,Tradewind Aviation,12197,K,471,2709
04Q,Tradewind Aviation,13541,K,143,796
04Q,Tradewind Aviation,10154,K,361,2045
04Q,Tradewind Aviation,10257,V,2,7
04Q,Tradewind Aviation,13832,V,2,8
04Q,Tradewind Aviation,10431,V,2,3
04Q,Tradewind Aviation,10577,V,1,2
04Q,Tradewind Aviation,11773,V,2,12
04Q,Tradewind Aviation,10158,V,1,4
04Q,Tradewind Aviation,13450,V,2,6
04Q,Tradewind Aviation,11537,V,2,3
04Q,Tradewind Aviation,10821,V,4,9
04Q,Tradewind Aviation,16503,V,6,21
04Q,Tradewind Aviation,10670,V,7,30
04Q,Tradewind Aviation,12397,V,1,3
04Q,Tradewind Aviation,14574,V,1,2
04Q,Tradewind Aviation,12484,V,1,1
04Q,Tradewind Aviation,10721,V,23,57
04Q,Tradewind Aviation,12108,V,1,5
04Q,Tradewind Aviation,10792,V,5,15
04Q,Tradewind Aviation,13493,V,1,3
04Q,Tradewind Aviation,13282,V,2,7
04Q,Tradewind Aviation,13535,V,2,9
04Q,Tradewind Aviation,10198,V,1,3
04Q,Tradewind Aviation,13731,V,9,27
04Q,Tradewind Aviation,10010,V,5,14
04Q,Tradewind Aviation,13232,V,1,4
04Q,Tradewind Aviation,13930,V,1,1
04Q,Tradewind Aviation,13984,V,3,7
04Q,Tradewind Aviation,14212,V,1,4
04Q,Tradewind Aviation,11883,V,2,7
04Q,Tradewind Aviation,14255,V,1,5
04Q,Tradewind Aviation,11961,V,3,10
04Q,Tradewind Aviation,12250,V,9,28
04Q,Tradewind Aviation,15427,V,7,21
04Q,Tradewind Aviation,15656,V,12,33
04Q,Tradewind Aviation,11423,V,2,6
04Q,Tradewind Aviation,12119,V,3,5
04Q,Tradewind Aviation,16353,V,1,5
04Q,Tradewind Aviation,11615,V,4,13
04Q,Tradewind Aviation,14332,V,3,6
04Q,Tradewind Aviation,12574,V,1,1
04Q,Tradewind Aviation,11899,V,3,7
04Q,Tradewind Aviation,16748,V,1,3
04Q,Tradewind Aviation,16863,V,1,2
04Q,Tradewind Aviation,16867,V,1,6
04Q,Tradewind Aviation,16868,V,1,3
04Q,Tradewind Aviation,16871,V,1,1
04Q,Tradewind Aviation,14182,V,2,8
04Q,Tradewind Aviation,12391,V,1,6
04Q,Tradewind Aviation,12889,V,1,2
04Q,Tradewind Aviation,12320,V,2,4
04Q,Tradewind Aviation,15356,V,1,2
04Q,Tradewind Aviation,13341,V,2,5
04Q,Tradewind Aviation,14553,V,1,2
04Q,Tradewind Aviation,10693,V,1,2
04Q,Tradewind Aviation,15070,V,3,10
04Q,Tradewind Aviation,10965,V,1,1
04Q,Tradewind Aviation,12478,V,8,20
04Q,Tradewind Aviation,12953,V,1,3
04Q,Tradewind Aviation,14769,V,2,9
04Q,Tradewind Aviation,13505,V,1,7
04Q,Tradewind Aviation,11618,V,2,7
04Q,Tradewind Aviation,13931,V,1,2
04Q,Tradewind Aviation,10780,V,1,4
04Q,Tradewind Aviation,11862,V,2,3
04Q,Tradewind Aviation,13376,V,1,1
04Q,Tradewind Aviation,13861,V,1,1
04Q,Tradewind Aviation,15021,V,1,4
04Q,Tradewind Aviation,16585,V,1,6
04Q,Tradewind Aviation,11728,V,18,61
04Q,Tradewind Aviation,14100,V,4,8
04Q,Tradewind Aviation,14122,V,1,8
04Q,Tradewind Aviation,14307,V,6,9
04Q,Tradewind Aviation,14524,V,6,22
04Q,Tradewind Aviation,14576,V,3,9
04Q,Tradewind Aviation,12944,V,5,14
04Q,Tradewind Aviation,13507,V,17,48
04Q,Tradewind Aviation,13599,V,1,3
04Q,Tradewind Aviation,14610,V,2,7
04Q,Tradewind Aviation,13987,V,5,14
04Q,Tradewind Aviation,14843,V,15,73
04Q,Tradewind Aviation,12264,V,9,20
04Q,Tradewind Aviation,12197,V,229,838
04Q,Tradewind Aviation,11456,V,4,17
04Q,Tradewind Aviation,11764,V,15,57
04Q,Tradewind Aviation,16441,V,1,2
04Q,Tradewind Aviation,10423,V,1,2
04Q,Tradewind Aviation,15167,V,444,2144
04Q,Tradewind Aviation,10927,V,1,3
04Q,Tradewind Aviation,14259,V,5,22
04Q,Tradewind Aviation,16710,V,1,1
04Q,Tradewind Aviation,14986,V,1,1
04Q,Tradewind Aviation,14696,V,2,11
04Q,Tradewind Aviation,10589,V,9,28
04Q,Tradewind Aviation,14539,V,8,25
04Q,Tradewind Aviation,14112,V,1,2
04Q,Tradewind Aviation,10478,V,1,1
04Q,Tradewind Aviation,14306,V,17,81
04Q,Tradewind Aviation,14751,V,1,7
04Q,Tradewind Aviation,14098,V,2,6
04Q,Tradewind Aviation,15546,V,1,5
04Q,Tradewind Aviation,15882,V,1,2
04Q,Tradewind Aviation,10581,V,6,26
04Q,Tradewind Aviation,10504,V,2,5
04Q,Tradewind Aviation,14802,V,1,1
04Q,Tradewind Aviation,12599,V,1,2
04Q,Tradewind Aviation,13008,V,3,18
04Q,Tradewind Aviation,13541,V,172,830
04Q,Tradewind Aviation,10154,V,384,1861
04Q,Tradewind Aviation,14875,V,6,17
04Q,Tradewind Aviation,11165,V,3,17
04Q,Tradewind Aviation,16498,V,10,23
04Q,Tradewind Aviation,16525,V,5,15
04Q,Tradewind Aviation,11842,V,2,11
04Q,Tradewind Aviation,14321,V,10,39
04Q,Tradewind Aviation,10135,V,1,1
04Q,Tradewind Aviation,16543,V,1,2
04Q,Tradewind Aviation,10785,V,5,21
04Q,Tradewind Aviation,11493,V,2,6
04Q,Tradewind Aviation,12070,V,1,1
04Q,Tradewind Aviation,13296,V,1,4
04Q,Tradewind Aviation,12244,V,4,9
04Q,Tradewind Aviation,10990,V,1,4
04Q,Tradewind Aviation,13958,V,2,3
04Q,Tradewind Aviation,11106,V,1,2
04Q,Tradewind Aviation,13674,V,1,3
04Q,Tradewind Aviation,12029,V,1,8
04Q,Tradewind Aviation,10414,V,6,17
04Q,Tradewind Aviation,16821,V,1,3
04Q,Tradewind Aviation,10540,V,42,129
04Q,Tradewind Aviation,10535,V,6,24
04Q,Tradewind Aviation,12494,V,1,2
04Q,Tradewind Aviation,12916,V,2,4
04Q,Tradewind Aviation,12945,V,1,1
04Q,Tradewind Aviation,10613,V,12,40
04Q,Tradewind Aviation,15855,V,5,13
04Q,Tradewind Aviation,12932,V,9,31
04Q,Tradewind Aviation,13211,V,1,3
04Q,Tradewind Aviation,13808,V,1,1
04Q,Tradewind Aviation,12898,V,1,1
04Q,Tradewind Aviation,16442,V,3,10
04Q,Tradewind Aviation,14150,V,1,3
04Q,Tradewind Aviation,11659,V,1,5
04Q,Tradewind Aviation,10815,V,5,24
04Q,Tradewind Aviation,10361,V,2,7
04Q,Tradewind Aviation,11675,V,12,36
04Q,Tradewind Aviation,12222,V,38,113
04Q,Tradewind Aviation,13398,V,15,48
04Q,Tradewind Aviation,16454,V,1,2
04Q,Tradewind Aviation,14648,V,4,8
04Q,Tradewind Aviation,16512,V,1,1
04Q,Tradewind Aviation,15380,V,1,8
04Q,Tradewind Aviation,16540,V,3,12
04Q,Tradewind Aviation,13535,K,2,14
04Q,Tradewind Aviation,15024,K,4,7
04Q,Tradewind Aviation,14843,K,390,2256
04Q,Tradewind Aviation,12197,K,37,198
04Q,Tradewind Aviation,13541,K,1,5
04Q,Tradewind Aviation,10154,K,29,148
04Q,Tradewind Aviation,14400,K,11,44
04Q,Tradewind Aviation,14044,K,35,151
04Q,Tradewind Aviation,13685,K,55,253
04Q,Tradewind Aviation,13490,V,1,7
04Q,Tradewind Aviation,10257,V,4,13
04Q,Tradewind Aviation,13832,V,1,6
04Q,Tradewind Aviation,10431,V,2,5
04Q,Tradewind Aviation,10397,V,1,2
04Q,Tradewind Aviation,15030,V,1,5
04Q,Tradewind Aviation,11537,V,2,16
04Q,Tradewind Aviation,10821,V,2,10
04Q,Tradewind Aviation,16503,V,1,4
04Q,Tradewind Aviation,10670,V,2,3
04Q,Tradewind Aviation,12397,V,5,16
04Q,Tradewind Aviation,10721,V,10,23
04Q,Tradewind Aviation,10792,V,3,8
04Q,Tradewind Aviation,13493,V,1,3
04Q,Tradewind Aviation,11057,V,1,1
04Q,Tradewind Aviation,13282,V,2,6
04Q,Tradewind Aviation,13535,V,5,20
04Q,Tradewind Aviation,15024,V,1,1
04Q,Tradewind Aviation,10198,V,3,7
04Q,Tradewind Aviation,13731,V,5,12
04Q,Tradewind Aviation,13232,V,2,5
04Q,Tradewind Aviation,13984,V,3,6
04Q,Tradewind Aviation,14255,V,1,3
04Q,Tradewind Aviation,11066,V,1,2
04Q,Tradewind Aviation,12250,V,6,28
04Q,Tradewind Aviation,14488,V,1,2
04Q,Tradewind Aviation,15656,V,37,211
04Q,Tradewind Aviation,12119,V,1,1
04Q,Tradewind Aviation,11615,V,4,10
04Q,Tradewind Aviation,14332,V,2,3
04Q,Tradewind Aviation,11986,V,1,6
04Q,Tradewind Aviation,13230,V,3,4
04Q,Tradewind Aviation,12391,V,2,9
04Q,Tradewind Aviation,11067,V,1,3
04Q,Tradewind Aviation,10732,V,2,4
04Q,Tradewind Aviation,12892,V,1,2
04Q,Tradewind Aviation,14713,V,1,3
04Q,Tradewind Aviation,12320,V,1,1
04Q,Tradewind Aviation,13341,V,1,6
04Q,Tradewind Aviation,13244,V,1,2
04Q,Tradewind Aviation,11098,V,1,5
04Q,Tradewind Aviation,10693,V,2,9
04Q,Tradewind Aviation,11441,V,1,1
04Q,Tradewind Aviation,14025,V,2,15
04Q,Tradewind Aviation,12478,V,1,2
04Q,Tradewind Aviation,12953,V,2,6
04Q,Tradewind Aviation,14769,V,2,6
04Q,Tradewind Aviation,11618,V,1,4
04Q,Tradewind Aviation,11862,V,3,8
04Q,Tradewind Aviation,16479,V,2,7
04Q,Tradewind Aviation,11728,V,3,11
04Q,Tradewind Aviation,14100,V,5,6
04Q,Tradewind Aviation,14122,V,4,14
04Q,Tradewind Aviation,14307,V,6,16
04Q,Tradewind Aviation,14492,V,1,8
04Q,Tradewind Aviation,12348,V,1,2
04Q,Tradewind Aviation,14524,V,3,8
04Q,Tradewind Aviation,14996,V,1,5
04Q,Tradewind Aviation,14576,V,2,5
04Q,Tradewind Aviation,12944,V,2,6
04Q,Tradewind Aviation,13125,V,3,10
04Q,Tradewind Aviation,13599,V,2,4
04Q,Tradewind Aviation,13987,V,4,13
04Q,Tradewind Aviation,14843,V,123,643
04Q,Tradewind Aviation,12378,V,1,2
04Q,Tradewind Aviation,15096,V,5,16
04Q,Tradewind Aviation,12264,V,13,41
04Q,Tradewind Aviation,14027,V,1,2
04Q,Tradewind Aviation,12197,V,158,549
04Q,Tradewind Aviation,11456,V,1,4
04Q,Tradewind Aviation,11764,V,10,40
04Q,Tradewind Aviation,15167,V,131,467
04Q,Tradewind Aviation,14259,V,5,7
04Q,Tradewind Aviation,16710,V,1,3
04Q,Tradewind Aviation,16133,V,1,4
04Q,Tradewind Aviation,10964,V,1,4
04Q,Tradewind Aviation,14306,V,3,14
04Q,Tradewind Aviation,14751,V,1,3
04Q,Tradewind Aviation,14098,V,2,4
04Q,Tradewind Aviation,10504,V,1,5
04Q,Tradewind Aviation,11126,V,2,14
04Q,Tradewind Aviation,14802,V,1,1
04Q,Tradewind Aviation,12394,V,2,10
04Q,Tradewind Aviation,12599,V,1,2
04Q,Tradewind Aviation,13008,V,1,8
04Q,Tradewind Aviation,13541,V,23,98
04Q,Tradewind Aviation,10154,V,73,356
04Q,Tradewind Aviation,14400,V,11,37
04Q,Tradewind Aviation,14875,V,1,7
04Q,Tradewind Aviation,16498,V,3,3
04Q,Tradewind Aviation,16525,V,3,7
04Q,Tradewind Aviation,11842,V,2,10
04Q,Tradewind Aviation,14044,V,1,1
04Q,Tradewind Aviation,14321,V,3,5
04Q,Tradewind Aviation,10135,V,1,3
04Q,Tradewind Aviation,10785,V,8,22
04Q,Tradewind Aviation,13296,V,1,7
04Q,Tradewind Aviation,14711,V,1,1
04Q,Tradewind Aviation,12244,V,6,18
04Q,Tradewind Aviation,10990,V,4,9
04Q,Tradewind Aviation,13933,V,2,7
04Q,Tradewind Aviation,11106,V,3,7
04Q,Tradewind Aviation,12587,V,1,5
04Q,Tradewind Aviation,13674,V,2,4
04Q,Tradewind Aviation,14778,V,1,3
04Q,Tradewind Aviation,16526,V,2,7
04Q,Tradewind Aviation,12029,V,1,3
04Q,Tradewind Aviation,13446,V,1,4
04Q,Tradewind Aviation,10540,V,34,110
04Q,Tradewind Aviation,10535,V,2,3
04Q,Tradewind Aviation,12168,V,1,2
04Q,Tradewind Aviation,11558,V,1,4
04Q,Tradewind Aviation,14640,V,1,4
04Q,Tradewind Aviation,16856,V,6,42
04Q,Tradewind Aviation,11648,V,1,1
04Q,Tradewind Aviation,12932,V,9,25
04Q,Tradewind Aviation,12898,V,1,3
04Q,Tradewind Aviation,12388,V,1,1
04Q,Tradewind Aviation,12884,V,1,2
04Q,Tradewind Aviation,10815,V,3,8
04Q,Tradewind Aviation,10945,V,1,1
04Q,Tradewind Aviation,10519,V,1,2
04Q,Tradewind Aviation,11675,V,12,60
04Q,Tradewind Aviation,12222,V,4,16
04Q,Tradewind Aviation,13122,V,1,2
04Q,Tradewind Aviation,13398,V,7,26
04Q,Tradewind Aviation,16454,V,1,4
04Q,Tradewind Aviation,15380,V,1,2
04Q,Tradewind Aviation,14938,V,1,7
04Q,Tradewind Aviation,14704,V,1,5
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10136,V,5,239
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10257,V,4,118
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10874,V,4,282
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10140,V,4,145
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10279,V,3,231
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10397,V,8,517
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15323,V,4,195
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10158,V,63,4399
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11146,V,2,49
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10821,V,8,309
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10781,V,13,276
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11641,V,2,147
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10620,V,1,0
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15374,V,1,31
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10599,V,2,35
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14574,V,2,118
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10721,V,17,572
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10792,V,11,551
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15295,V,11,174
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12323,V,2,66
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10994,V,10,353
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11027,V,2,55
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11057,V,5,323
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15024,V,5,172
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13232,V,11,326
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,V,16,589
